stkcd,year,total_assets,total_liabilities,fixed_assets,total_current_assets,total_current_liab,net_profit,dep_amort,soe,ind_gate,ind_mid,ind_code_em,m2,m2_growth,lev,npr,size,tang,ndts,liq,growth,ind_code,lev_raw,npr_raw,tang_raw,growth_raw,ndts_raw,liq_raw
000008,2012,613829627.28,73003221.58,365035833.26,160649196.68,73003221.58,39129030.59,96970810.18,0,制造业,,C37,974148.8,14.391640399163496,0.12593378900694432,0.06374575102115622,20.23522796760672,0.5946859145224803,0.1493166921946364,2.200576812955492,0.045202640169843274,CM_other,0.11893075592244001,0.06374575102115622,0.5946859145224803,0.045202640169843274,0.157976750991471,2.200576812955492
000008,2013,626625950.69,63041591.05,336368745.83,208793926.86,63041591.05,22757953.94,77502440.39999999,0,制造业,,C37,1106524.98,13.588907567303888,0.10081038457538702,0.03631824362674481,20.255860350706175,0.5358080931008173,0.11938931303808971,3.3120028124670884,0.020846702148775577,CM_other,0.10060482011730071,0.03631824362674481,0.5367935136736876,0.020846702148775577,0.12368214293496671,3.3120028124670884
000008,2014,674028043.8,75677281.52,307026028.72,234707483.68,74980962.53,7767773.9,73794264.44,0,制造业,,C37,1228374.807,11.011936395688071,0.11580462354158107,0.011524407584300575,20.32878227602286,0.45550927968673943,0.10740070719038682,3.130227670604964,0.0756465528722578,CM_other,0.1122761615278655,0.011524407584300575,0.45550927968673943,0.0756465528722578,0.10948248387999787,3.130227670604964
000008,2015,3589354694.52,681292694.72,428071797.56,1653063812.12,631550134.56,185671528.19,102421909.2,0,制造业,,C37,1392278.10919881,13.34310189893124,0.18980924224628865,0.05038984252682932,22.0012382724594,0.1192614923828935,0.028534908895008707,2.6174704455912865,4.325230496767055,CM_other,0.18980924224628865,0.05172838685278765,0.1192614923828935,4.325230496767055,0.028534908895008707,2.6174704455912865
000008,2016,8192656625.83,2020170574.43,182830843.63,4415379602.65,1966552673.91,521866228.2,100504380.34,0,制造业,,C37,1550066.66781086,11.333120701211753,0.24658308857480477,0.06369926777532063,22.826504056551624,0.02231642945385586,0.012267617810702262,2.245238411982689,1.1832783668549174,CM_other,0.24658308857480477,0.06369926777532063,0.02231642945385586,1.2824873335416056,0.012267617810702262,2.245238411982689
000008,2017,10678315229.7,3491262205.66,245093104.21,6481932951.62,3429077484.47,873780534.16,81475574.72,0,制造业,,C37,1690235.31468079,9.042749565596964,0.3269487864480364,0.0818275650572406,23.091480908006524,0.022952413272864743,0.007630002764236526,1.890284772209471,0.3034008035968648,CM_other,0.3269487864480364,0.0818275650572406,0.022952413272864743,0.3034008035968648,0.007630002764236526,1.890284772209471
000008,2018,10466364830.02,3061512834.88,307839487.05,5632607970.79,2771347873.62,325051555.98,99669504.41,0,制造业,,C37,1826744.21571345,8.076325222115033,0.2973150565411921,0.03105677675668973,23.07143260288051,0.029412264148010955,0.009522838734239836,2.0324434995714036,-0.019848674170106412,CM_other,0.2925096616256735,0.03105677675668973,0.029412264148010955,-0.019848674170106412,0.009522838734239836,2.0324434995714036
000008,2019,12044543142.96,4468062797.72,443826748.35,6618083693.42,4102461891.07,434380320.18,135242669.07,0,制造业,,C37,1986488.82,8.744771321154033,0.3709615835725218,0.03606449119939382,23.21187754310836,0.0368487823142894,0.011228542873296854,1.6131980915717605,0.15078571582116185,CM_other,0.3709615835725218,0.03606449119939382,0.0368487823142894,0.15078571582116185,0.011228542873296854,1.6131980915717605
000008,2020,12828310640.73,6159732582.73,450512042.62,6177752001.08,4585498747.3,-894441536.86,155466506.22,0,制造业,,C37,2186795.89,10.083473311468216,0.4801670894352055,-0.06972403162893018,23.274920334319013,0.035118579151772356,0.012119016336133338,1.347236656583439,0.06507241399422528,CM_other,0.4801670894352055,-0.06972403162893018,0.035118579151772356,0.06507241399422528,0.012119016336133338,1.347236656583439
000008,2021,12384892306.63,7048782810.2,412660221.56,6109508394.42,5538349914.31,-1394382238.74,213617405.69,0,制造业,,C37,2382899.56,8.967625689108093,0.5691436498342887,-0.10060363604430482,23.239743204382023,0.0333196455280512,0.017248224724218577,1.1031279151637277,-0.034565606221924755,CM_other,0.5691436498342887,-0.112587352737298,0.0333196455280512,-0.034565606221924755,0.017248224724218577,1.1031279151637277
000008,2022,11248084947.03,6767929022.88,435737499.27,5058412119.45,5889374210.02,-846257790.47,197690517.82,0,制造业,,C37,2664320.84,11.81003533359164,0.6016961158056543,-0.07523572185445222,23.143463724175927,0.03873881654717181,0.017575482293294663,0.8823635720574055,-0.09178984616535034,CM_other,0.6016961158056543,-0.07523572185445222,0.03873881654717181,-0.09178984616535034,0.017575482293294663,0.858904857980288
000008,2023,10655455517.04,7001062360.39,513064358.17,4872861669.56,6423532570.4,-828273298.53,208982029.02,0,制造业,,C37,2922713.33,9.698249779857605,0.6570401752598971,-0.07773232192705803,23.089337853065107,0.04815039182037007,0.019612679034303127,0.7647736051980747,-0.052687140324849745,CM_other,0.6570401752598971,-0.07773232192705803,0.04815039182037007,-0.052687140324849745,0.019612679034303127,0.7585953081353431
000008,2024,9957262709.58,6849114661.31,482035709.93,4454996237.1,5419453699.56,-545308746.31,171557705.09,0,制造业,,C37,3135322.3,7.274369600935171,0.6878511555912236,-0.05476492508180506,23.021568042415264,0.04841046419978733,0.01722940431459565,0.8220378813203435,-0.06552444485770359,CM_other,0.6878511555912236,-0.05476492508180506,0.04841046419978733,-0.06552444485770359,0.01722940431459565,0.8220378813203435
000008,2025,8718108829.55,6440810763.29,404864370.98,4064940652.79,4433802865.63,-835213824.83,178708795.1,0,制造业,,C37,3402948.06,8.535829314900113,0.7387853133306727,-0.09544077558097859,22.888668174000824,0.04532715498578395,0.020134347384437725,0.9294888447626706,-0.12444724179445382,CM_other,0.7387853133306727,-0.09580217925234492,0.04643947201114462,-0.12444724179445382,0.02049857355465295,0.9168068080564993
000009,2011,11785629478.31,7665398227.94,988179744.87,8772823726.96,4775183846.0,269923293.62,188108108.92,0,工业,电气部件与设备,Z03010301,851590.9,17.32297305487116,0.6504021055512751,0.022902747292095054,23.190146785426087,0.08384615744866435,0.015960802879998036,1.8371698367820284,0.17566519043208748,CM_other,0.6504021055512751,0.022902747292095054,0.08384615744866435,0.17566519043208748,0.015960802879998036,1.8371698367820284
000009,2012,13171329970.76,8477977308.4,1171521053.72,9625613014.8,6636305719.0,160460653.96,133764745.16,0,工业,电气部件与设备,Z03010301,974148.8,14.391640399163496,0.6436690392861527,0.012182570349100535,23.30130833247465,0.08894478054385893,0.010155750820680536,1.4504474962992584,0.11757543328510471,CM_other,0.6436690392861527,0.012182570349100535,0.08894478054385893,0.11757543328510471,0.010155750820680536,1.4504474962992584
000009,2013,13611801387.92,8559070247.89,1580430865.74,9410692553.66,7229715938.23,292399996.79,150300676.5,0,工业,电气部件与设备,Z03010301,1106524.98,13.588907567303888,0.6287977618807954,0.021481359333489457,23.33420300252358,0.11610739979960165,0.011041938698384669,1.301668369001501,0.03344168114669017,CM_other,0.6287977618807954,0.021481359333489457,0.11610739979960165,0.03344168114669017,0.011041938698384669,1.301668369001501
